date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:11	35771/35771	---M-Z	200	added ('OK')	text/html	etag:%228bbb-68183d88-e4e366183a79f46c;gz%22	https://html.rrdevs.net/edcare/blog-details.html	C:/My%20Web%20Sites/WebMokProject/html.rrdevs.net/edcare/blog-details.html	(from )
17:50:11	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-48ceae123dfb1535;gz%22	https://html.rrdevs.net/robots.txt		(from )
17:50:12	2223/2223	---M--	200	added ('OK')	image/png	etag:%228af-68183d87-9b254f18ca04a342;;;%22	https://html.rrdevs.net/edcare/assets/img/favicon.png	C:/My%20Web%20Sites/WebMokProject/html.rrdevs.net/edcare/assets/img/favicon.png	(from https://html.rrdevs.net/edcare/blog-details.html)
17:50:13	232871/232871	---M-Z	200	added ('OK')	text/css	etag:%2238da7-68183d87-35bdd0edb047fce9;gz%22	https://html.rrdevs.net/edcare/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/WebMokProject/html.rrdevs.net/edcare/assets/css/bootstrap.min.css	(from https://html.rrdevs.net/edcare/blog-details.html)
17:50:14	15368/15368	---M-Z	200	added ('OK')	text/css	etag:%223c08-68183d87-d360639e0bc83f5b;gz%22	https://html.rrdevs.net/edcare/assets/css/venobox.min.css	C:/My%20Web%20Sites/WebMokProject/html.rrdevs.net/edcare/assets/css/venobox.min.css	(from https://html.rrdevs.net/edcare/blog-details.html)
17:50:14	465641/465641	---M-Z	200	added ('OK')	text/css	etag:%2271ae9-68183d87-557dd067d8c6567d;gz%22	https://html.rrdevs.net/edcare/assets/css/fontawesome.min.css	C:/My%20Web%20Sites/WebMokProject/html.rrdevs.net/edcare/assets/css/fontawesome.min.css	(from https://html.rrdevs.net/edcare/blog-details.html)
17:50:15	59203/59203	---M-Z	200	added ('OK')	text/css	etag:%22e743-68183d87-539c4cb115771ae2;gz%22	https://html.rrdevs.net/edcare/assets/css/animate.min.css	C:/My%20Web%20Sites/WebMokProject/html.rrdevs.net/edcare/assets/css/animate.min.css	(from https://html.rrdevs.net/edcare/blog-details.html)
17:50:15	69538/69538	---M-Z	200	added ('OK')	text/css	etag:%2210fa2-68183d87-8e55474f6e977a2f;gz%22	https://html.rrdevs.net/edcare/assets/css/keyframe-animation.css	C:/My%20Web%20Sites/WebMokProject/html.rrdevs.net/edcare/assets/css/keyframe-animation.css	(from https://html.rrdevs.net/edcare/blog-details.html)
17:50:16	3274/3274	---M-Z	200	added ('OK')	text/css	etag:%22cca-68183d87-42903e2c055c9fe0;gz%22	https://html.rrdevs.net/edcare/assets/css/odometer.min.css	C:/My%20Web%20Sites/WebMokProject/html.rrdevs.net/edcare/assets/css/odometer.min.css	(from https://html.rrdevs.net/edcare/blog-details.html)
17:50:16	3540/3540	---M-Z	200	added ('OK')	text/css	etag:%22dd4-68183d87-9688f7f5a368d7f6;gz%22	https://html.rrdevs.net/edcare/assets/css/nice-select.css	C:/My%20Web%20Sites/WebMokProject/html.rrdevs.net/edcare/assets/css/nice-select.css	(from https://html.rrdevs.net/edcare/blog-details.html)
